gym_id,location,gym_type,facilities
gym_1,Las Vegas,Premium,"Climbing Wall, Swimming Pool, Basketball Court"
gym_2,Austin,Budget,"Climbing Wall, Yoga Classes, Sauna"
gym_3,Atlanta,Budget,"Sauna, Climbing Wall, Swimming Pool"
gym_4,Detroit,Premium,"Climbing Wall, Basketball Court, Swimming Pool"
gym_5,San Francisco,Standard,"Basketball Court, CrossFit, Swimming Pool"
gym_6,Seattle,Budget,"Swimming Pool, Climbing Wall, Sauna"
gym_7,Denver,Premium,"Sauna, Basketball Court, Swimming Pool"
gym_8,Miami,Standard,"Basketball Court, Sauna, CrossFit"
gym_9,Boston,Premium,"Sauna, CrossFit, Yoga Classes"
gym_10,Orlando,Premium,"Swimming Pool, Sauna, CrossFit"
